isAvailable,date,patient_patientAMKA,DOCTOR_AMKA
0,7/5/2021,6693937527,1790943809
1,6/27/2021,4066398642,5033601199
1,11/18/2021,7487707113,2719163996
0,12/1/2021,4398781129,4417558787
1,8/26/2021,4029225802,5908316296
1,7/26/2021,4592399560,3863068084
1,9/15/2021,3224415460,4718107644
0,3/17/2021,9384422878,6443909402
1,2/17/2021,4879126659,1790943809
1,11/26/2021,4881583816,7149133584
0,11/30/2021,6430069567,1238561551
0,3/9/2021,3862859266,7505825836
1,3/29/2021,6863347164,5053500053
1,12/17/2021,2438829192,5662999627
1,5/31/2021,5649647135,1191908704
0,3/5/2021,3862859266,1790943809
1,8/27/2021,1482017520,0894357905
1,7/4/2021,4517199355,9837611510
0,11/2/2021,8112113335,6437859407
0,6/20/2021,6975950814,4454165505
1,10/28/2021,3673815857,8436722000
1,12/31/2021,4168599817,6755596922
0,1/9/2022,4198200130,1790943809
1,1/28/2021,3673815857,0987008625
1,10/7/2021,7487707113,6149293556
1,9/27/2021,3673815857,1735232599
0,8/23/2021,6975950814,9476298278
1,4/24/2021,4743732395,6269812240
1,9/12/2021,9389552869,6272889968
1,5/29/2021,1745328432,0095094725
0,1/8/2022,9505479638,0656898046
0,8/15/2021,1482017520,3983157033
0,11/15/2021,2178584691,4454165505
0,1/20/2022,0800470664,9837611510
0,10/1/2021,9788668240,5983823310
0,1/24/2021,1754284043,8436722000
0,11/1/2021,4066398642,2835107762
1,1/10/2022,9505479638,2480819396
0,6/30/2021,3065948737,6443909402
1,2/15/2021,1937201163,0095094725
0,3/16/2021,0278150780,1536444170
0,9/12/2021,1764797663,5662999627
0,6/25/2021,4881583816,1105645584
1,10/16/2021,5503538676,9063838301
1,1/14/2022,7940201816,3983157033
0,3/12/2021,2575173078,2553896492
0,2/19/2021,2114690504,2297517556
1,3/2/2021,4743732395,1238561551
1,2/17/2021,6698637394,6391181705
0,9/4/2021,2266658166,2719163996
0,11/2/2021,1269738100,2495236715
1,2/13/2021,2114690504,9413834709
0,3/28/2021,7487707113,8231060103
1,10/22/2021,6693937527,9578103506
1,5/8/2021,6980159941,5908316296
1,12/24/2021,5649647135,3863068084
0,10/10/2021,1049814452,0656898046
1,3/11/2021,0278150780,8916903068
1,3/12/2021,2268326241,4454165505
0,11/21/2021,1745328432,4454165505
1,1/25/2021,7711406169,6510504790
1,2/20/2021,2438829192,2835107762
1,12/6/2021,8112113335,8436722000
0,7/26/2021,1937201163,5276386390
1,8/11/2021,9476759410,3527202781
0,5/1/2021,3578911143,1488371806
0,2/4/2021,5696544983,8092680469
0,5/21/2021,4452711936,2062655347
0,6/21/2021,1392202590,9578103506
1,8/26/2021,8356742102,0095094725
1,6/7/2021,4517199355,7775106298
1,8/8/2021,1689232803,8114248246
0,11/17/2021,2830578821,6437859407
0,9/21/2021,1745328432,9317996329
1,6/15/2021,6980159941,2553896492
1,2/4/2021,0859916456,7775106298
1,2/5/2021,5301114093,1735232599
0,5/12/2021,0696460459,2340012791
1,7/28/2021,3862859266,9990062781
0,10/5/2021,8500975318,7634338834
1,12/15/2021,3862859266,6269812240
0,1/12/2022,6132047379,9990062781
0,6/4/2021,6980159941,8231060103
0,4/27/2021,3611590150,4742326873
0,1/28/2021,3673815857,1536444170
0,3/21/2021,1269738100,5276386390
1,3/23/2021,4517199355,9642416026
1,3/7/2021,9384422878,5983823310
0,11/26/2021,2053873469,8916903068
1,11/26/2021,4398781129,8436722000
0,10/15/2021,5948008177,6149293556
1,4/3/2021,9016291253,8480507055
1,7/11/2021,2266658166,5533316922
1,5/10/2021,8160640528,9519023143
0,2/20/2021,9389552869,6269812240
0,6/5/2021,2732146889,2821646682
0,10/11/2021,2732146889,6391181705
0,10/9/2021,8112113335,6391181705
1,10/3/2021,1786780895,9413834709
1,12/15/2021,4879126659,0987008625
