username,name,surname,specialty,doctorAMKA,ADMIN_userID,role
grickets0,Gearalt,Rickets,general practitioner,1488371806,237,doctor
tbrabant1,Tilly,Brabant,general practitioner,1536444170,4424,doctor
wlainge2,Wenonah,Lainge,orthopeadic,2719163996,3611,doctor
ajude3,Abby,Jude,orthopeadic,5033601199,8831,doctor
cwillcott4,Corine,Willcott,optician,5908316296,9196,doctor
mfitzroy5,Marris,Fitzroy,optician,7149133584,6847,doctor
afriel6,Abdul,Friel,general practitioner,9578103506,8773,doctor
tjanjic7,Thomasina,Janjic,optician,8480507055,2049,doctor
hmohan8,Hyacinthie,Mohan,general practitioner,1191908704,991,doctor
cmackrell9,Cort,Mackrell,general practitioner,8742179394,7673,doctor
jbunclarka,Jackquelin,Bunclark,orthopeadic,2480819396,2988,doctor
ckarolovskyb,Cale,Karolovsky,orthopeadic,6510504790,6888,doctor
mbarberc,Mikey,Barber,orthopeadic,6492655648,1697,doctor
tdymidowskid,Tedra,Dymidowski,orthopeadic,5845081386,2470,doctor
rnutkinse,Reggy,Nutkins,optician,1790943809,6099,doctor
etwattf,Elane,Twatt,optician,3983157033,2470,doctor
snannonig,Sibelle,Nannoni,orthopeadic,9642416026,535,doctor
aalldridgeh,Alano,Alldridge,general practitioner,8916903068,8338,doctor
pponceti,Pryce,Poncet,general practitioner,8092680469,8773,doctor
chumanj,Cymbre,Human,optician,6447888345,7408,doctor
tscuphamk,Tatiana,Scupham,orthopeadic,7634338834,4602,doctor
zforsardl,Zacharia,Forsard,orthopeadic,9476298278,5009,doctor
bfrostdykem,Bing,Frostdyke,optician,5053500053,9196,doctor
aconfortn,Andie,Confort,orthopeadic,6272889968,9515,doctor
pcadmano,Park,Cadman,general practitioner,3798573492,9902,doctor
ycraythornp,Yuma,Craythorn,general practitioner,9519023143,3504,doctor
brichingsq,Brina,Richings,optician,5578695116,5122,doctor
ptwentymanr,Porty,Twentyman,general practitioner,4742326873,5505,doctor
elyons,Evelina,Lyon,orthopeadic,1698489218,8338,doctor
sswinneyt,Sloane,Swinney,general practitioner,3863068084,275,doctor
kcreweu,Kippie,Crewe,optician,0894357905,2394,doctor
crockellv,Cyril,Rockell,orthopeadic,9063838301,7408,doctor
kvoulesw,Kass,Voules,optician,7505825836,6099,doctor
btollerx,Bobinette,Toller,orthopeadic,4253376746,6707,doctor
rcorleyy,Ronnie,Corley,general practitioner,4454165505,688,doctor
wbeltonz,Windham,Belton,optician,8231060103,2470,doctor
bduplain10,Billy,Duplain,general practitioner,5123802142,2470,doctor
swhaymand11,Samaria,Whaymand,orthopeadic,6149293556,8653,doctor
nscholig12,Nikkie,Scholig,general practitioner,5533316922,2958,doctor
nschenfisch13,Neala,Schenfisch,general practitioner,8877200391,612,doctor
darni14,Dawna,Arni,optician,5983823310,8929,doctor
clomax15,Correy,Lomax,optician,7058201501,6099,doctor
dpudge16,Damita,Pudge,general practitioner,0987008625,8929,doctor
civel17,Christine,Ivel,orthopeadic,3864770130,237,doctor
tblunsden18,Tully,Blunsden,orthopeadic,5608650956,4602,doctor
